time	V(vout)
Step Information: Run=0  (Run: 1/129)
0.000000000000000e+000	3.106253e+000
9.999999999621423e-006	3.106275e+000
2.999999999886427e-005	3.106286e+000
4.244999999989929e-002	3.106287e+000
9.134999999978533e-002	3.106288e+000
1.020499999997604e-001	3.106288e+000
1.604499999996243e-001	3.106288e+000
2.044499999995217e-001	3.106287e+000
2.708499999993670e-001	3.106247e+000
3.068499999992831e-001	3.106129e+000
3.470499999991894e-001	3.105660e+000
3.768499999991199e-001	3.104417e+000
3.953499999990768e-001	3.100440e+000
3.977678952712580e-001	3.094141e+000
3.977896252446271e-001	3.090142e+000
3.977961316221581e-001	3.079612e+000
3.977969617581891e-001	3.071568e+000
3.977974361216354e-001	3.060529e+000
3.977975228277622e-001	3.056623e+000
3.977976962400192e-001	3.044067e+000
3.977977395930843e-001	3.038829e+000
3.977978262992110e-001	3.021654e+000
3.977978833533733e-001	3.001581e+000
3.977979381126140e-001	2.963488e+000
3.977979827181954e-001	2.898631e+000
3.977980273950301e-001	2.774152e+000
3.977980753683461e-001	2.566863e+000
3.977981314673791e-001	2.264188e+000
3.977981942651354e-001	1.895734e+000
3.977982678097440e-001	1.432841e+000
3.977984148989577e-001	4.504279e-001
3.977984594688024e-001	1.639598e-001
3.977984822203595e-001	4.322566e-002
3.977984903518603e-001	1.710771e-002
3.977984964939836e-001	8.541021e-003
3.977984987950585e-001	6.937637e-003
3.977985020088148e-001	5.556185e-003
3.977985043325809e-001	4.824814e-003
3.977985069275860e-001	4.214802e-003
3.977985100093875e-001	3.666625e-003
3.977985131699136e-001	3.244665e-003
3.977985183421708e-001	2.745833e-003
3.977985232316676e-001	2.412114e-003
3.977985318124375e-001	2.023211e-003
3.977985406373179e-001	1.764870e-003
3.977985582870751e-001	1.456796e-003
3.977985741834083e-001	1.291347e-003
3.977986059760745e-001	1.112514e-003
3.977986396072062e-001	1.006903e-003
3.977987068694695e-001	9.029260e-004
3.977987936760279e-001	8.362972e-004
3.977989672891411e-001	7.813015e-004
3.977993145153675e-001	7.392048e-004
3.978000089678204e-001	7.123225e-004
3.978013978727262e-001	6.973163e-004
3.978041756825377e-001	6.903802e-004
3.978097313021642e-001	6.880020e-004
3.978430650199236e-001	6.876710e-004
4.033763998909450e-001	6.875935e-004
4.433763998908518e-001	6.863956e-004
4.833763998907585e-001	6.853556e-004
5.057763998907063e-001	6.848342e-004
5.457763998906131e-001	6.840000e-004
5.857763998905199e-001	6.832756e-004
6.081763998904677e-001	6.829125e-004
6.481763998903745e-001	6.823330e-004
6.882763998902810e-001	6.818477e-004
7.105763998902290e-001	6.816569e-004
7.506763998901356e-001	6.818901e-004
7.771763998900738e-001	6.837157e-004
7.965763998900286e-001	6.892139e-004
8.108763998899953e-001	7.222023e-004
8.121763998899922e-001	7.489904e-004
8.126763998899911e-001	7.804698e-004
8.128763998899906e-001	8.103186e-004
8.129763998899904e-001	8.394542e-004
8.130763998899901e-001	8.818334e-004
8.130888998899906e-001	8.914053e-004
8.131138998899914e-001	9.254035e-004
8.131638998899931e-001	1.030907e-003
8.131763998899935e-001	1.078451e-003
8.131795248899927e-001	1.097606e-003
8.131857748899911e-001	1.165268e-003
8.131982748899915e-001	1.408985e-003
8.132013998899907e-001	1.534474e-003
8.132021811399923e-001	1.591343e-003
8.132037436399919e-001	1.744914e-003
8.132041342649927e-001	1.797637e-003
8.132049155149943e-001	1.984218e-003
8.132064780149939e-001	2.573002e-003
8.132067114899684e-001	2.757750e-003
8.132071784399173e-001	3.373993e-003
8.132072951774063e-001	3.639285e-003
8.132075286523808e-001	4.437109e-003
8.132075759802930e-001	4.680743e-003
8.132076706361140e-001	5.409323e-003
8.132077522897525e-001	6.321060e-003
8.132078104085281e-001	7.338068e-003
8.132078619914971e-001	8.758181e-003
8.132079006923974e-001	1.044158e-002
8.132079318427650e-001	1.261184e-002
8.132079581372977e-001	1.558317e-002
8.132079804501800e-001	1.976057e-002
8.132079995155621e-001	2.580659e-002
8.132080161470014e-001	3.490072e-002
8.132080312430254e-001	4.931997e-002
8.132080458810478e-001	7.395215e-002
8.132080618596902e-001	1.187518e-001
8.132080778668041e-001	1.874185e-001
8.132081025264988e-001	3.265289e-001
8.132081306568040e-001	5.069994e-001
8.132081576943655e-001	6.893874e-001
8.132082023906513e-001	9.949800e-001
8.132082917832229e-001	1.584696e+000
8.132083828062200e-001	2.132592e+000
8.132084765531644e-001	2.638544e+000
8.132085209122124e-001	2.823333e+000
8.132085687009685e-001	2.943840e+000
8.132086143556663e-001	3.006323e+000
8.132086517752910e-001	3.033110e+000
8.132086939623839e-001	3.050208e+000
8.132087458514086e-001	3.062992e+000
8.132088186732567e-001	3.073885e+000
8.132089059522656e-001	3.081679e+000
8.132090388788953e-001	3.088529e+000
8.132092022487463e-001	3.093304e+000
8.132094735165154e-001	3.097471e+000
8.132099076617756e-001	3.100708e+000
8.132124736022028e-001	3.105117e+000
8.132158689020166e-001	3.106034e+000
8.132226595016441e-001	3.106364e+000
8.352177278963602e-001	3.106283e+000
8.610177278963000e-001	3.106284e+000
8.910177278962301e-001	3.106285e+000
9.098177278961863e-001	3.106285e+000
9.474177278960987e-001	3.106286e+000
9.907177278959978e-001	3.106287e+000
1.012217727895948e+000	3.106287e+000
1.065617727895823e+000	3.106288e+000
1.114617727895709e+000	3.106288e+000
1.178617727895560e+000	3.106279e+000
1.217017727895470e+000	3.106238e+000
1.269117727895349e+000	3.105961e+000
1.303617727895269e+000	3.105224e+000
1.319417727895232e+000	3.104319e+000
1.337217727895190e+000	3.100060e+000
1.339017727895186e+000	3.096651e+000
1.339117727895186e+000	3.095787e+000
1.339119290395185e+000	3.095762e+000
1.339122415395185e+000	3.095701e+000
1.339190384145184e+000	3.089900e+000
1.339195852895184e+000	3.081526e+000
1.339197195668625e+000	3.070344e+000
1.339197390981123e+000	3.064551e+000
1.339197781606124e+000	3.045577e+000
1.339197831583078e+000	3.040341e+000
1.339197931536987e+000	3.022937e+000
1.339197956525464e+000	3.015912e+000
1.339198006502418e+000	2.992512e+000
1.339198052207802e+000	2.953730e+000
1.339198096138791e+000	2.878120e+000
1.339198142553812e+000	2.733124e+000
1.339198190256390e+000	2.514026e+000
1.339198243424974e+000	2.220703e+000
1.339198305749669e+000	1.851089e+000
1.339198384190141e+000	1.352822e+000
1.339198541071085e+000	3.296920e-001
1.339198594922465e+000	3.812626e-002
1.339198607837385e+000	6.146423e-003
1.339198615017960e+000	3.621978e-003
1.339198619271560e+000	3.043380e-003
1.339198623468125e+000	2.658240e-003
1.339198626638922e+000	2.438283e-003
1.339198629888337e+000	2.254289e-003
1.339198635826588e+000	1.998589e-003
1.339198638902875e+000	1.895883e-003
1.339198641997751e+000	1.805087e-003
1.339198645390148e+000	1.720891e-003
1.339198649035229e+000	1.641471e-003
1.339198653137505e+000	1.566121e-003
1.339198657773043e+000	1.492534e-003
1.339198669472257e+000	1.351387e-003
1.339198686192667e+000	1.216554e-003
1.339198711501137e+000	1.090692e-003
1.339198730857813e+000	1.028998e-003
1.339198758740125e+000	9.671535e-004
1.339198805377855e+000	9.034916e-004
1.339198887194367e+000	8.416591e-004
1.339199050827396e+000	7.860286e-004
1.339199378093454e+000	7.421070e-004
1.339200032625566e+000	7.142386e-004
1.339201341689794e+000	6.981730e-004
1.339203959818246e+000	6.907841e-004
1.339209196075149e+000	6.880973e-004
1.339219668588957e+000	6.876609e-004
1.379266283782169e+000	6.865507e-004
1.415366283782085e+000	6.855872e-004
1.455366283781991e+000	6.846537e-004
1.495366283781898e+000	6.838432e-004
1.517766283781846e+000	6.834369e-004
1.557766283781753e+000	6.827869e-004
1.597766283781660e+000	6.822250e-004
1.620166283781607e+000	6.819514e-004
1.660266283781514e+000	6.816179e-004
1.700366283781420e+000	6.821923e-004
1.722566283781369e+000	6.843313e-004
1.740966283781326e+000	6.911792e-004
1.752466283781299e+000	7.244940e-004
1.753666283781296e+000	7.526565e-004
1.754066283781295e+000	7.792509e-004
1.754266283781295e+000	8.078338e-004
1.754366283781295e+000	8.347780e-004
1.754466283781294e+000	9.048941e-004
1.754566283781294e+000	1.072312e-003
1.754578783781295e+000	1.114819e-003
1.754581908781294e+000	1.136419e-003
1.754589721281292e+000	1.220094e-003
1.754592846281291e+000	1.285870e-003
1.754599096281289e+000	1.485484e-003
1.754600658781289e+000	1.599377e-003
1.754603783781288e+000	2.004504e-003
1.754604267763817e+000	2.140456e-003
1.754605235728874e+000	2.608769e-003
1.754605477720137e+000	2.831726e-003
1.754605961702666e+000	3.543589e-003
1.754606049006018e+000	3.757699e-003
1.754606223612722e+000	4.383046e-003
